,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
1,0,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
2,1,0,XRSTR_0_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
3,1,1,x1_x2_x1,-4058.114944613816,3907.5,22684.861541022885,"(607, 260, 90)","(607.0, 260.0, 90)"
4,2,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
5,2,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
6,3,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
7,3,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
8,4,0,XRSTR_0_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
9,4,1,x1_x2_x1,-4058.114944613816,3907.5,22684.861541022885,"(607, 260, 90)","(607.0, 260.0, 90)"
10,5,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
11,5,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
12,6,0,XRSTR_0_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
13,6,1,x1_x2_x1,-4058.114944613816,3907.5,22684.861541022885,"(607, 260, 90)","(607.0, 260.0, 90)"
14,7,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
15,7,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
16,8,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
17,8,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
18,9,0,XRSTR_0_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
19,9,1,x1_x2_x1,-4058.114944613816,3907.5,22684.861541022885,"(607, 260, 90)","(607.0, 260.0, 90)"
20,10,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
21,10,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
22,11,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
23,11,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
24,12,0,x1_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
25,12,1,XRSTR_0_x2_x1,-6162.026363791555,5874.5,82671.40987519387,"(607, 260, 90)","(607.0, 260.0, 90)"
26,13,0,XRSTR_0_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
27,13,1,x1_x2_x1,-4058.114944613816,3907.5,22684.861541022885,"(607, 260, 90)","(607.0, 260.0, 90)"
28,14,0,XRSTR_0_x2_x1,0.0,0.0,0.0,"(607, 260, 90)","(1367.0, 260.0, 90)"
29,14,1,x1_x2_x1,-4058.114944613816,3907.5,22684.861541022885,"(607, 260, 90)","(607.0, 260.0, 90)"
