,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-5194.23,1048.58,0.35109,1.6244,1.16329,1.0
1,-6334.0,1252.67,0.1262,1.50571,0.87906,0.37817
2,-6510.72,1334.54,0.20253,1.56125,0.98315,0.28462
3,-6392.29,1319.67,0.09449,1.56309,0.87604,0.1362
4,-6384.51,1123.48,0.08095,1.28391,0.7229,0.09195
5,-6389.68,1250.21,0.08754,1.22222,0.69865,0.0818
6,-6304.92,1057.5,0.03536,1.2232,0.64696,0.07088
7,-6406.52,1183.88,0.03199,1.15034,0.60716,0.05813
8,-6273.03,1260.68,0.02249,1.20365,0.62431,0.04034
9,-6366.33,1206.51,0.03132,1.08567,0.57415,0.06311
