,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1957.0, 3086.0, 180)"
1,0,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
2,0,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
3,0,3,XM1_x3_x1_x1,-4345.0,4345.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
4,1,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
5,1,1,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
6,1,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
7,1,3,XM2_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
8,2,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
9,2,1,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1611.0, 3086.0, 180)"
10,2,2,XM4_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1265.0, 3086.0, 180)"
11,2,3,XM2_x3_x1_x1,-2661.0,2661.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
12,3,0,XM1_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1907.0, 3086.0, 180)"
13,3,1,XM2_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1561.0, 3086.0, 180)"
14,3,2,XM3_x3_x1_x1,0.0,0.0,0.0,"(869, 3086, 180)","(1215.0, 3086.0, 180)"
15,3,3,XM4_x3_x1_x1,-4045.0,4045.0,0.0,"(869, 3086, 180)","(869.0, 3086.0, 180)"
