,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-3545.24,680.94,0.35586,2.05915,1.38544,1.0
1,-18118.04,3929.94,0.16568,1.7503,1.04083,0.25649
2,-17391.89,4523.64,0.09655,1.84125,1.01717,0.12254
3,-17016.73,4578.85,0.06389,1.51864,0.82321,0.09716
4,-19484.12,4471.91,0.07373,1.58865,0.86805,0.0671
5,-18074.0,4274.12,0.03077,1.43094,0.74623,0.04692
6,-18815.58,4709.34,0.04525,1.49354,0.79201,0.05183
7,-18277.82,5167.09,0.03596,1.38247,0.72719,0.03905
8,-18067.99,4705.7,0.01203,1.38838,0.70622,0.02569
9,-17686.88,4830.72,0.02535,1.2709,0.6608,0.03114
