,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-2938.18,143.45,0.32948,1.47191,1.06543,1.0
1,-5609.53,1562.04,0.23851,1.45706,0.96704,0.42676
2,-5367.08,1474.81,0.13841,1.40731,0.84207,0.25557
3,-5467.35,1379.44,0.10117,1.29457,0.74845,0.11227
4,-5577.98,1546.11,0.0589,1.10435,0.61108,0.09317
5,-5295.28,1461.19,0.03747,1.26507,0.67,0.07835
6,-5258.6,1225.2,0.04148,1.14931,0.61613,0.06934
7,-5431.74,1351.96,0.03608,1.15356,0.61286,0.04983
8,-5592.06,1329.26,0.02411,1.12711,0.58767,0.03827
9,-5561.8,1644.77,0.01465,1.08808,0.55869,0.03225
