,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-2958.99,145.2,0.34651,1.72778,1.2104,1.0
1,-5695.22,1725.05,0.34077,1.40234,1.04194,1.13422
2,-5449.15,1488.48,0.43503,1.46073,1.16539,1.10663
3,-5546.57,1548.49,0.18395,1.42125,0.89457,0.43493
4,-5164.22,1351.42,0.0942,1.29874,0.74357,0.25539
5,-5324.21,1469.37,0.1023,1.25251,0.72856,0.12828
6,-5385.73,1430.96,0.05401,1.21673,0.66237,0.08003
7,-5494.85,1457.22,0.04166,1.28773,0.68553,0.05618
8,-5328.0,1529.95,0.02219,1.26027,0.65233,0.03465
9,-5479.51,1507.61,0.01345,1.17886,0.60288,0.02269
