,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
1,0,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
2,0,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
3,0,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
4,0,4,XM4_x3_x1,-5618.933083668175,5271.0,121057.43071084484,"(434, 269, 180)","(434.0, 269.0, 180)"
5,1,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -289.0, 180)"
6,1,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, -10.0, 180)"
7,1,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
8,1,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
9,1,4,XR6_x3_x1,-6020.373429494801,5621.0,159499.1361864386,"(434, 269, 180)","(434.0, 269.0, 180)"
10,2,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
11,2,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
12,2,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
13,2,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
14,2,4,XM3_x3_x1,-5991.116672614745,5621.0,136986.35134741,"(434, 269, 180)","(434.0, 269.0, 180)"
15,3,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
16,3,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
17,3,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
18,3,3,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
19,3,4,XM4_x3_x1,-6133.3948328467195,5719.0,171723.077490061,"(434, 269, 180)","(434.0, 269.0, 180)"
20,4,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -289.0, 180)"
21,4,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -10.0, 180)"
22,4,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
23,4,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
24,4,4,XDL_XM1_XM2_x3_x1,-6057.328464113672,5678.0,143890.08368683775,"(434, 269, 180)","(434.0, 269.0, 180)"
25,5,0,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, -289.0, 180)"
26,5,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
27,5,2,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, -10.0, 180)"
28,5,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
29,5,4,XR6_x3_x1,-5445.254383368909,5161.0,80800.55446443873,"(434, 269, 180)","(434.0, 269.0, 180)"
30,6,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
31,6,1,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
32,6,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
33,6,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
34,6,4,XM3_x3_x1,-5877.79984782976,5517.0,130176.53019397832,"(434, 269, 180)","(434.0, 269.0, 180)"
35,7,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -289.0, 180)"
36,7,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1143.0, 269.0, 180)"
37,7,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, -10.0, 180)"
38,7,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
39,7,4,XDL_XM1_XM2_x3_x1,-5493.009207054865,5165.0,107590.03991276152,"(434, 269, 180)","(434.0, 269.0, 180)"
40,8,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
41,8,1,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
42,8,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
43,8,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
44,8,4,XM6_x3_x1,-5814.418936901573,5452.0,131347.4858248667,"(434, 269, 180)","(434.0, 269.0, 180)"
45,9,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
46,9,1,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
47,9,2,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
48,9,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
49,9,4,XM3_x3_x1,-5378.145930611724,5069.0,95571.20641378862,"(434, 269, 180)","(434.0, 269.0, 180)"
50,10,0,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -289.0, 180)"
51,10,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, -10.0, 180)"
52,10,2,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
53,10,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(747.0, 269.0, 180)"
54,10,4,XDL_XM1_XM2_x3_x1,-5277.365909637485,4971.0,93860.07058800368,"(434, 269, 180)","(434.0, 269.0, 180)"
55,11,0,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1157.5, 269.0, 180)"
56,11,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
57,11,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(844.5, 269.0, 180)"
58,11,3,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
59,11,4,XM6_x3_x1,-6689.012581049695,6224.0,216236.70053449858,"(434, 269, 180)","(434.0, 269.0, 180)"
60,12,0,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
61,12,1,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
62,12,2,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
63,12,3,XM6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
64,12,4,XM3_x3_x1,-5492.8994756073935,5173.0,102335.67449388531,"(434, 269, 180)","(434.0, 269.0, 180)"
65,13,0,XM4_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -289.0, 180)"
66,13,1,XM3_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(434.0, -10.0, 180)"
67,13,2,XDL_XM1_XM2_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(1045.5, 269.0, 180)"
68,13,3,XR6_x3_x1,0.0,0.0,0.0,"(434, 269, 180)","(732.5, 269.0, 180)"
69,13,4,XM6_x3_x1,-5814.418936901573,5452.0,131347.4858248667,"(434, 269, 180)","(434.0, 269.0, 180)"
