,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-5838.56,478.76,0.31107,1.52793,1.07504,1.0
1,-12722.64,2120.44,0.2535,1.44702,0.97701,0.59438
2,-12796.38,2286.98,0.20019,1.61805,1.00921,0.25969
3,-12333.85,2221.19,0.07774,1.57596,0.86571,0.15268
4,-12385.34,2170.33,0.07023,1.49329,0.81688,0.09445
5,-12498.21,2324.51,0.04525,1.29842,0.69445,0.09053
6,-12598.2,2087.16,0.06462,1.30459,0.71691,0.07359
7,-12699.77,2337.99,0.06986,1.27023,0.70498,0.07375
8,-12527.95,2346.58,0.04293,1.19314,0.6395,0.07075
9,-12473.3,2505.94,0.04132,1.21319,0.64792,0.04035
