,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
1,0,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
2,0,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
3,1,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
4,1,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
5,1,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
6,2,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
7,2,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
8,2,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
9,3,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
10,3,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
11,3,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
12,4,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
13,4,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
14,4,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
15,5,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
16,5,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
17,5,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
18,6,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
19,6,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
20,6,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
21,7,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
22,7,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
23,7,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
24,8,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
25,8,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
26,8,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
27,9,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
28,9,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
29,9,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
30,10,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
31,10,1,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
32,10,2,XRSTR_2,-27919.207354783273,26886.0,1067517.43797825,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
33,11,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
34,11,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
35,11,2,x1,-30047.0798293587,28985.0,1128013.563930605,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
36,12,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
37,12,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
38,12,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
39,13,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
40,13,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
41,13,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
42,14,0,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
43,14,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
44,14,2,XRSTR_1,-28788.25768954107,27814.0,949178.0456299058,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
45,15,0,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(7448.5, 1672.0, 0)"
46,15,1,XRSTR_2,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, 1672.0, 0)"
47,15,2,XRSTR_1,-27920.318113647743,26886.0,1069813.9602198259,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
48,16,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
49,16,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
50,16,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
51,17,0,XRSTR_1,0.0,0.0,0.0,"(4865, 1672, 0)","(5398.0, -515.0, 0)"
52,17,1,x1,0.0,0.0,0.0,"(4865, 1672, 0)","(6915.5, 1672.0, 0)"
53,17,2,XRSTR_2,-28145.813989399154,27215.0,866414.682861168,"(4865, 1672, 0)","(4865.0, 1672.0, 0)"
