,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-28773.25,868.4,0.33539,1.38227,1.02653,1.0
1,-28774.57,947.89,0.3429,1.20784,0.94682,1.0
2,-28830.87,922.47,0.34332,1.21636,0.95151,1.0
3,-29014.06,1440.09,0.29385,1.29978,0.94374,1.0
4,-30369.95,3594.65,0.3134,2.77435,1.70057,1.0
5,-28782.03,926.36,0.34014,1.16599,0.92313,1.0
6,-28906.63,953.69,0.35054,1.45822,1.07965,1.0
7,-34294.75,5548.31,0.32815,1.85423,1.25526,0.99818
8,-35035.25,5549.01,0.30494,1.61633,1.1131,0.98552
9,-35982.65,5563.08,0.33077,1.49712,1.07933,0.97194
