,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 106.0, 180)"
1,0,1,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 915.5, 180)"
2,0,2,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
3,0,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
4,0,4,x3_x1_x1,-18096.177517497938,17511.5,341847.7994675523,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
5,1,0,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 175.0, 180)"
6,1,1,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 1679.0, 180)"
7,1,2,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1383.5, 180)"
8,1,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 2193.0, 180)"
9,1,4,XC1_x1_x1,-22077.612599787546,21220.5,734642.0087145683,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
10,2,0,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 869.5, 180)"
11,2,1,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 574.0, 180)"
12,2,2,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1383.5, 180)"
13,2,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
14,2,4,x3_x1_x1,-21284.28250650353,20467.0,667950.6954366922,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
15,3,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, -293.0, 180)"
16,3,1,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 915.5, 180)"
17,3,2,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1725.0, 180)"
18,3,3,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 2239.0, 180)"
19,3,4,XC2_x1_x1,-21261.047869551912,20413.0,719185.1890515388,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
20,4,0,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1725.0, 180)"
21,4,1,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 147.0, 180)"
22,4,2,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1355.5, 180)"
23,4,3,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 2239.0, 180)"
24,4,4,XC2_x1_x1,-19916.18644336301,19097.0,671066.4289897394,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
25,5,0,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 869.5, 180)"
26,5,1,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1383.5, 180)"
27,5,2,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2107.0, 1943.5, 180)"
28,5,3,x3_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1544.5, 180)"
29,5,4,x2_x1_x1,-20391.1284947818,19509.0,778150.6813060034,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
30,6,0,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(2312.0, 869.5, 180)"
31,6,1,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 574.0, 180)"
32,6,2,XC1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1383.5, 180)"
33,6,3,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1943.5, 180)"
34,6,4,x3_x1_x1,-21284.28250650353,20467.0,667950.6954366922,"(1122, 2753, 180)","(1122.0, 2753.0, 180)"
35,7,0,x2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 106.0, 180)"
36,7,1,XC2_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 915.5, 180)"
37,7,2,x1_x1_x1,0.0,0.0,0.0,"(1122, 2753, 180)","(1122.0, 1429.5, 180)"
