,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-20214.07,1368.95,0.38983,1.60984,1.19475,1.0
1,-35191.72,6265.28,0.12908,1.37567,0.81691,0.17725
2,-35693.89,6977.08,0.04867,1.284,0.69067,0.05844
3,-35251.75,6554.55,0.02248,1.2158,0.63038,0.0305
4,-35464.38,6419.47,0.00245,1.2172,0.61105,0.02232
5,-37144.93,7411.95,0.03308,1.09048,0.57832,0.02469
6,-35725.56,6648.29,0.01202,1.13377,0.57891,0.02709
7,-35944.07,6780.48,0.01532,1.12941,0.58003,0.02609
8,-37757.4,7047.47,0.02892,1.04949,0.55367,0.0344
9,-36477.06,6328.47,0.03861,1.05457,0.5659,0.04227
