,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
1,0,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
2,0,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
3,1,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 2945.0, 270)"
4,1,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 3194.0, 270)"
5,1,2,x1_x1,-26194.722514156263,25300.5,799633.9048239467,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
6,2,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
7,2,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
8,2,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
9,3,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
10,3,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
11,3,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
12,4,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
13,4,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
14,4,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
15,5,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
16,5,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
17,5,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
18,6,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
19,6,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
20,6,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
21,7,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
22,7,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
23,7,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
24,8,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
25,8,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
26,8,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
27,9,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
28,9,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
29,9,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
30,10,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
31,10,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
32,10,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
33,11,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1698.0, 270)"
34,11,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -47.0, 270)"
35,11,2,x3_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
36,12,0,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(4822.0, 1449.0, 270)"
37,12,1,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
38,12,2,x2_x1,-26251.460055947,25354.5,804537.3419644436,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
39,13,0,x1_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, -296.0, 270)"
40,13,1,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 1449.0, 270)"
41,13,2,x3_x1,-27231.80902593269,26206.5,1051258.5986590413,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
42,14,0,x2_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(7040.0, 3194.0, 270)"
43,14,1,x3_x1,0.0,0.0,0.0,"(5931, 1449, 270)","(5931.0, 2945.0, 270)"
44,14,2,x1_x1,-27175.50821780863,26152.5,1046545.8137039939,"(5931, 1449, 270)","(5931.0, 1449.0, 270)"
