,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-26711.24,479.4,0.35422,1.09514,0.90179,0.99932
1,-41591.56,9526.95,0.0294,1.22592,0.64236,0.07813
2,-40881.36,8521.33,0.01912,1.08992,0.56407,0.06614
3,-40919.89,9252.33,0.06409,1.09087,0.60952,0.05995
4,-40121.88,8232.48,0.04387,1.10677,0.59725,0.04663
5,-41481.44,8645.67,0.03397,1.06301,0.56548,0.04983
6,-39966.38,9405.94,0.02528,1.04964,0.5501,0.03652
7,-40835.69,8946.87,0.04205,1.04259,0.56334,0.05665
8,-41385.63,9384.45,0.03675,1.005,0.53925,0.05668
9,-39789.65,7933.58,0.04713,1.04388,0.56907,0.05011
